run_id,kind,validity_note,requested_backend,reported_backends,run_dir,logcat_fatal_hits,logcat_exception_hits,logcat_anr_timeout_hits,logcat_delegate_backend_hits,logcat_memory_hits,logcat_thermal_hits,logcat_empty_output_hits
20260528-235519-magicv5-litertlm-gemma4-main-long-long-r1,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-235519-magicv5-litertlm-gemma4-main-long-long-r1,0,0,4,725,61,118,161
20260528-235519-magicv5-litertlm-gemma4-main-long-long-r2,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-235519-magicv5-litertlm-gemma4-main-long-long-r2,0,0,5,730,62,67,155
20260528-235519-magicv5-litertlm-gemma4-main-long-long-r3,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-235519-magicv5-litertlm-gemma4-main-long-long-r3,0,0,3,736,61,69,176
20260528-235519-magicv5-litertlm-gemma4-main-medium-medium-r1,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-235519-magicv5-litertlm-gemma4-main-medium-medium-r1,0,2,13,722,73,28,413
20260528-235519-magicv5-litertlm-gemma4-main-medium-medium-r2,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-235519-magicv5-litertlm-gemma4-main-medium-medium-r2,0,1,12,731,63,32,259
20260528-235519-magicv5-litertlm-gemma4-main-medium-medium-r3,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-235519-magicv5-litertlm-gemma4-main-medium-medium-r3,0,0,5,718,59,22,160
20260528-235519-magicv5-litertlm-gemma4-main-short-short-r1,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-235519-magicv5-litertlm-gemma4-main-short-short-r1,0,0,6,747,66,25,179
20260528-235519-magicv5-litertlm-gemma4-main-short-short-r2,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-235519-magicv5-litertlm-gemma4-main-short-short-r2,0,0,3,722,66,19,152
20260528-235519-magicv5-litertlm-gemma4-main-short-short-r3,other,ok_usb_powered,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-235519-magicv5-litertlm-gemma4-main-short-short-r3,0,0,3,718,66,21,153
20260528-magicv5-litertlm-gemma4-batch-r1,other,ok,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-batch-r1,0,4,16,26,0,4,102
20260528-magicv5-litertlm-gemma4-batch-r2,other,ok,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-batch-r2,0,4,1,21,0,1,116
20260528-magicv5-litertlm-gemma4-cpu-smoke,smoke,reported_backend_mismatch,CPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-cpu-smoke,0,0,0,21,0,2,81
20260528-magicv5-litertlm-gemma4-gpu-smoke,smoke,reported_backend_mismatch,GPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-gpu-smoke,0,0,0,21,0,3,79
20260528-magicv5-litertlm-gemma4-long-long-r1,other,ok,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-long-long-r1,0,7,9,23,0,0,107
20260528-magicv5-litertlm-gemma4-long-medium-r1,other,ok,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-long-medium-r1,0,15,11,43,0,6,177
20260528-magicv5-litertlm-gemma4-long-short-r1,other,ok,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-long-short-r1,0,0,1,22,0,0,80
20260528-magicv5-litertlm-gemma4-medium-long-r1,other,ok,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-medium-long-r1,0,7,10,23,0,1,106
20260528-magicv5-litertlm-gemma4-medium-medium-r1,other,ok,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-medium-medium-r1,0,7,10,25,0,0,91
20260528-magicv5-litertlm-gemma4-medium-short-r1,other,ok,NPU,NPU,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-medium-short-r1,0,7,9,25,0,0,89
