model,prompt,backend,strict_only,runs,ok_rows,mean_of_run_means_tok_s,sd_of_run_means_tok_s,max_thermal_c
fastvlm-0.5b-sm8750,long,NPU,False,15,45,98.531027,5.608298,72.9
fastvlm-0.5b-sm8750,medium,NPU,False,15,45,90.300633,9.583566,66.8
fastvlm-0.5b-sm8750,short,NPU,False,19,57,94.846137,12.011608,73.7
fastvlm-0.5b-sm8750,unknown,NPU,False,9,42,87.480367,11.330525,61.0
gemma4-e2b,long,GPU,False,3,9,21.897467,1.621611,79.9
gemma4-e2b,long,CPU,False,7,209,20.856571,3.136759,80.7
gemma4-e2b,medium,GPU,False,3,9,30.443267,0.313086,74.9
gemma4-e2b,medium,CPU,False,7,209,20.449343,8.382005,85.3
gemma4-e2b,short,GPU,False,4,11,30.7992,2.63239,65.6
gemma4-e2b,short,CPU,False,9,215,26.895456,5.733562,83.0
gemma4-e2b-sm8750,long,NPU,False,29,565,43.914655,8.732797,104.6
gemma4-e2b-sm8750,long,CPU,False,3,70,38.721033,1.400802,103.1
gemma4-e2b-sm8750,long,GPU,False,2,50,37.8785,0.4293,102.3
gemma4-e2b-sm8750,medium,NPU,False,29,652,39.96761,7.489051,105.4
gemma4-e2b-sm8750,medium,CPU,False,2,50,28.4465,0.6906,98.1
gemma4-e2b-sm8750,short,NPU,False,36,817,43.983008,4.240309,102.3
gemma4-e2b-sm8750,short,CPU,False,9,174,43.289522,3.027504,102.7
gemma4-e2b-sm8750,short,GPU,False,7,162,42.826486,2.316225,103.5
gemma4-e2b-sm8750,unknown,NPU,False,6,27,53.69395,2.967136,82.6
phi3-mini-4k-instruct-onnx-cpu-int4,long,CPU,False,7,21,15.826167,5.135834,
phi3-mini-4k-instruct-onnx-cpu-int4,medium,CPU,False,7,21,16.672386,3.707901,
phi3-mini-4k-instruct-onnx-cpu-int4,short,CPU,False,9,27,6.065474,8.739934,
tiny-random-gpt2-fp32,short,CPU,False,3,3,6274.531078,6094.573304,
