run_id,prompt,requested_backend,reported_backends,measure_rows,ok_measure_rows,strict_backend_valid,validity_note,mean_tok_s,mean_ttft_ms,thermal_peak_any_c,battery_peak_temp_c,run_dir
20260605-MBH-N49-gemma-on-device-strict-overnight-50iter-long-cpu,long,CPU,CPU,50,50,True,ok_usb_powered,16.4176,1293.0476,64.5,45.0,01-sustained-mobile-inference\logs\runs\20260605-MBH-N49-gemma-on-device-strict-overnight-50iter-long-cpu
20260605-MBH-N49-gemma-on-device-strict-overnight-50iter-long-gpu,long,GPU,,1,0,False,all_measurements_failed,,,53.6,44.0,01-sustained-mobile-inference\logs\runs\20260605-MBH-N49-gemma-on-device-strict-overnight-50iter-long-gpu
20260605-MBH-N49-gemma-on-device-strict-overnight-50iter-medium-cpu,medium,CPU,CPU,50,50,True,ok_usb_powered,13.0354,1250.0693,79.9,45.0,01-sustained-mobile-inference\logs\runs\20260605-MBH-N49-gemma-on-device-strict-overnight-50iter-medium-cpu
20260605-MBH-N49-gemma-on-device-strict-overnight-50iter-medium-gpu,medium,GPU,,1,0,False,all_measurements_failed,,,54.0,44.0,01-sustained-mobile-inference\logs\runs\20260605-MBH-N49-gemma-on-device-strict-overnight-50iter-medium-gpu
20260605-MBH-N49-gemma-on-device-strict-overnight-50iter-short-cpu,short,CPU,CPU,50,50,True,ok_usb_powered,25.0678,844.6309,77.6,41.0,01-sustained-mobile-inference\logs\runs\20260605-MBH-N49-gemma-on-device-strict-overnight-50iter-short-cpu
20260605-MBH-N49-gemma-on-device-strict-overnight-50iter-short-gpu,short,GPU,,1,0,False,all_measurements_failed,,,55.6,44.0,01-sustained-mobile-inference\logs\runs\20260605-MBH-N49-gemma-on-device-strict-overnight-50iter-short-gpu
20260605-MBH-N49-gemma-on-device-strict-smoke-cpu,short,CPU,CPU,5,5,True,ok_usb_powered,26.7809,787.9272,70.6,38.0,01-sustained-mobile-inference\logs\runs\20260605-MBH-N49-gemma-on-device-strict-smoke-cpu
20260605-MBH-N49-gemma-on-device-strict-smoke-gpu,short,GPU,,1,0,False,all_measurements_failed,,,47.8,37.0,01-sustained-mobile-inference\logs\runs\20260605-MBH-N49-gemma-on-device-strict-smoke-gpu
20260608-202445-MBH-N49-bai4-strict-backend-priority-long-cpu,long,CPU,CPU,50,50,True,ok_usb_powered,18.5627,1119.4782,63.3,39.0,01-sustained-mobile-inference\logs\runs\20260608-202445-MBH-N49-bai4-strict-backend-priority-long-cpu
20260608-202445-MBH-N49-bai4-strict-backend-priority-long-gpu,long,GPU,,1,0,False,all_measurements_failed,,,47.5,39.0,01-sustained-mobile-inference\logs\runs\20260608-202445-MBH-N49-bai4-strict-backend-priority-long-gpu
20260608-202445-MBH-N49-bai4-strict-backend-priority-medium-cpu,medium,CPU,CPU,50,50,True,ok_usb_powered,14.2677,1124.4133,85.3,41.0,01-sustained-mobile-inference\logs\runs\20260608-202445-MBH-N49-bai4-strict-backend-priority-medium-cpu
20260608-202445-MBH-N49-bai4-strict-backend-priority-medium-gpu,medium,GPU,,1,0,False,all_measurements_failed,,,48.6,39.0,01-sustained-mobile-inference\logs\runs\20260608-202445-MBH-N49-bai4-strict-backend-priority-medium-gpu
20260608-202445-MBH-N49-bai4-strict-backend-priority-short-cpu,short,CPU,CPU,50,50,True,ok_usb_powered,23.3456,933.6742,79.5,37.0,01-sustained-mobile-inference\logs\runs\20260608-202445-MBH-N49-bai4-strict-backend-priority-short-cpu
20260608-202445-MBH-N49-bai4-strict-backend-priority-short-gpu,short,GPU,,1,0,False,all_measurements_failed,,,53.6,39.0,01-sustained-mobile-inference\logs\runs\20260608-202445-MBH-N49-bai4-strict-backend-priority-short-gpu
20260609-125938-MBH-N49-bai4-strict-repeat-long-cpu,long,CPU,CPU,50,50,True,ok_usb_powered,19.7187,1043.4147,78.4,40.0,01-sustained-mobile-inference\logs\runs\20260609-125938-MBH-N49-bai4-strict-repeat-long-cpu
20260609-125938-MBH-N49-bai4-strict-repeat-long-gpu,long,GPU,,1,0,False,all_measurements_failed,,,52.9,40.0,01-sustained-mobile-inference\logs\runs\20260609-125938-MBH-N49-bai4-strict-repeat-long-gpu
20260609-125938-MBH-N49-bai4-strict-repeat-medium-cpu,medium,CPU,CPU,50,50,True,ok_usb_powered,12.556,1297.8495,67.2,40.0,01-sustained-mobile-inference\logs\runs\20260609-125938-MBH-N49-bai4-strict-repeat-medium-cpu
20260609-125938-MBH-N49-bai4-strict-repeat-medium-gpu,medium,GPU,,1,0,False,all_measurements_failed,,,51.3,40.0,01-sustained-mobile-inference\logs\runs\20260609-125938-MBH-N49-bai4-strict-repeat-medium-gpu
20260609-125938-MBH-N49-bai4-strict-repeat-short-cpu,short,CPU,CPU,50,50,True,ok_usb_powered,24.3447,890.3541,79.9,37.0,01-sustained-mobile-inference\logs\runs\20260609-125938-MBH-N49-bai4-strict-repeat-short-cpu
20260609-125938-MBH-N49-bai4-strict-repeat-short-gpu,short,GPU,,1,0,False,all_measurements_failed,,,57.5,40.0,01-sustained-mobile-inference\logs\runs\20260609-125938-MBH-N49-bai4-strict-repeat-short-gpu
20260611-225410-MBH-N49-bai4-strict-repeat-long-cpu,long,CPU,CPU,50,50,True,ok_usb_powered,18.3212,1118.7733,63.3,40.0,01-sustained-mobile-inference\logs\runs\20260611-225410-MBH-N49-bai4-strict-repeat-long-cpu
20260611-225410-MBH-N49-bai4-strict-repeat-long-gpu,long,GPU,,1,0,False,all_measurements_failed,,,47.8,39.0,01-sustained-mobile-inference\logs\runs\20260611-225410-MBH-N49-bai4-strict-repeat-long-gpu
20260611-225410-MBH-N49-bai4-strict-repeat-medium-cpu,medium,CPU,CPU,50,50,True,ok_usb_powered,12.9562,1269.3354,69.1,41.0,01-sustained-mobile-inference\logs\runs\20260611-225410-MBH-N49-bai4-strict-repeat-medium-cpu
20260611-225410-MBH-N49-bai4-strict-repeat-medium-gpu,medium,GPU,,1,0,False,all_measurements_failed,,,48.6,40.0,01-sustained-mobile-inference\logs\runs\20260611-225410-MBH-N49-bai4-strict-repeat-medium-gpu
20260611-225410-MBH-N49-bai4-strict-repeat-short-cpu,short,CPU,CPU,50,50,True,ok_usb_powered,15.113,1508.8175,78.4,42.0,01-sustained-mobile-inference\logs\runs\20260611-225410-MBH-N49-bai4-strict-repeat-short-cpu
20260611-225410-MBH-N49-bai4-strict-repeat-short-gpu,short,GPU,,1,0,False,all_measurements_failed,,,51.7,40.0,01-sustained-mobile-inference\logs\runs\20260611-225410-MBH-N49-bai4-strict-repeat-short-gpu
